Prompt 1,Prompt 2,Prompt 3,Prompt 4,Prompt 5,doc_name,sent_idx,text,mention pair,label
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'blood', 'start_token_id': 71, 'end_token_id': 71}
 {'mention': 'sample', 'start_token_id': 72, 'end_token_id': 72}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'blood', 'start_token_id': 71, 'end_token_id': 71}
 {'mention': 'blood', 'start_token_id': 71, 'end_token_id': 71}]",1.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'blood', 'start_token_id': 71, 'end_token_id': 71}
 {'mention': 'alcohol test', 'start_token_id': 77, 'end_token_id': 78}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'blood', 'start_token_id': 71, 'end_token_id': 71}
 {'mention': 'results', 'start_token_id': 82, 'end_token_id': 82}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'blood', 'start_token_id': 71, 'end_token_id': 71}
 {'mention': 'a few weeks', 'start_token_id': 88, 'end_token_id': 90}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'blood', 'start_token_id': 71, 'end_token_id': 71}
 {'mention': 'Williams', 'start_token_id': 93, 'end_token_id': 93}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'blood', 'start_token_id': 71, 'end_token_id': 71}
 {'mention': 'county jail', 'start_token_id': 97, 'end_token_id': 98}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'sample', 'start_token_id': 72, 'end_token_id': 72}
 {'mention': 'blood', 'start_token_id': 71, 'end_token_id': 71}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'sample', 'start_token_id': 72, 'end_token_id': 72}
 {'mention': 'alcohol test', 'start_token_id': 77, 'end_token_id': 78}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'sample', 'start_token_id': 72, 'end_token_id': 72}
 {'mention': 'results', 'start_token_id': 82, 'end_token_id': 82}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'sample', 'start_token_id': 72, 'end_token_id': 72}
 {'mention': 'a few weeks', 'start_token_id': 88, 'end_token_id': 90}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'sample', 'start_token_id': 72, 'end_token_id': 72}
 {'mention': 'Williams', 'start_token_id': 93, 'end_token_id': 93}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'sample', 'start_token_id': 72, 'end_token_id': 72}
 {'mention': 'county jail', 'start_token_id': 97, 'end_token_id': 98}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'blood', 'start_token_id': 71, 'end_token_id': 71}
 {'mention': 'alcohol test', 'start_token_id': 77, 'end_token_id': 78}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'blood', 'start_token_id': 71, 'end_token_id': 71}
 {'mention': 'results', 'start_token_id': 82, 'end_token_id': 82}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'blood', 'start_token_id': 71, 'end_token_id': 71}
 {'mention': 'a few weeks', 'start_token_id': 88, 'end_token_id': 90}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'blood', 'start_token_id': 71, 'end_token_id': 71}
 {'mention': 'Williams', 'start_token_id': 93, 'end_token_id': 93}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'blood', 'start_token_id': 71, 'end_token_id': 71}
 {'mention': 'county jail', 'start_token_id': 97, 'end_token_id': 98}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'alcohol test', 'start_token_id': 77, 'end_token_id': 78}
 {'mention': 'results', 'start_token_id': 82, 'end_token_id': 82}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'alcohol test', 'start_token_id': 77, 'end_token_id': 78}
 {'mention': 'a few weeks', 'start_token_id': 88, 'end_token_id': 90}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'alcohol test', 'start_token_id': 77, 'end_token_id': 78}
 {'mention': 'Williams', 'start_token_id': 93, 'end_token_id': 93}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'alcohol test', 'start_token_id': 77, 'end_token_id': 78}
 {'mention': 'county jail', 'start_token_id': 97, 'end_token_id': 98}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'results', 'start_token_id': 82, 'end_token_id': 82}
 {'mention': 'a few weeks', 'start_token_id': 88, 'end_token_id': 90}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'results', 'start_token_id': 82, 'end_token_id': 82}
 {'mention': 'Williams', 'start_token_id': 93, 'end_token_id': 93}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'results', 'start_token_id': 82, 'end_token_id': 82}
 {'mention': 'county jail', 'start_token_id': 97, 'end_token_id': 98}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'a few weeks', 'start_token_id': 88, 'end_token_id': 90}
 {'mention': 'Williams', 'start_token_id': 93, 'end_token_id': 93}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'a few weeks', 'start_token_id': 88, 'end_token_id': 90}
 {'mention': 'county jail', 'start_token_id': 97, 'end_token_id': 98}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[5 6]," Williams gave a blood sample for a blood-alcohol test, but the results won't be known for a few weeks.  Williams was booked into county jail and later released on bail. ","[{'mention': 'Williams', 'start_token_id': 93, 'end_token_id': 93}
 {'mention': 'county jail', 'start_token_id': 97, 'end_token_id': 98}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[6 7], Williams was booked into county jail and later released on bail.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ,"[{'mention': 'Williams', 'start_token_id': 93, 'end_token_id': 93}
 {'mention': 'county jail', 'start_token_id': 97, 'end_token_id': 98}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[6 7], Williams was booked into county jail and later released on bail.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ,"[{'mention': 'Williams', 'start_token_id': 93, 'end_token_id': 93}
 {'mention': ""City Attorney 's office"", 'start_token_id': 107, 'end_token_id': 110}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[6 7], Williams was booked into county jail and later released on bail.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ,"[{'mention': 'Williams', 'start_token_id': 93, 'end_token_id': 93}
 {'mention': 'case', 'start_token_id': 113, 'end_token_id': 113}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[6 7], Williams was booked into county jail and later released on bail.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ,"[{'mention': 'Williams', 'start_token_id': 93, 'end_token_id': 93}
 {'mention': 'as of Tuesday', 'start_token_id': 118, 'end_token_id': 120}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[6 7], Williams was booked into county jail and later released on bail.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ,"[{'mention': 'county jail', 'start_token_id': 97, 'end_token_id': 98}
 {'mention': ""City Attorney 's office"", 'start_token_id': 107, 'end_token_id': 110}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[6 7], Williams was booked into county jail and later released on bail.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ,"[{'mention': 'county jail', 'start_token_id': 97, 'end_token_id': 98}
 {'mention': 'case', 'start_token_id': 113, 'end_token_id': 113}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[6 7], Williams was booked into county jail and later released on bail.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ,"[{'mention': 'county jail', 'start_token_id': 97, 'end_token_id': 98}
 {'mention': 'as of Tuesday', 'start_token_id': 118, 'end_token_id': 120}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[6 7], Williams was booked into county jail and later released on bail.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ,"[{'mention': ""City Attorney 's office"", 'start_token_id': 107, 'end_token_id': 110}
 {'mention': 'case', 'start_token_id': 113, 'end_token_id': 113}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[6 7], Williams was booked into county jail and later released on bail.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ,"[{'mention': ""City Attorney 's office"", 'start_token_id': 107, 'end_token_id': 110}
 {'mention': 'as of Tuesday', 'start_token_id': 118, 'end_token_id': 120}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[6 7], Williams was booked into county jail and later released on bail.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ,"[{'mention': 'case', 'start_token_id': 113, 'end_token_id': 113}
 {'mention': 'as of Tuesday', 'start_token_id': 118, 'end_token_id': 120}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': ""City Attorney 's office"", 'start_token_id': 107, 'end_token_id': 110}
 {'mention': 'case', 'start_token_id': 113, 'end_token_id': 113}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': ""City Attorney 's office"", 'start_token_id': 107, 'end_token_id': 110}
 {'mention': 'as of Tuesday', 'start_token_id': 118, 'end_token_id': 120}]",0.0
"(0, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': ""City Attorney 's office"", 'start_token_id': 107, 'end_token_id': 110}
 {'mention': 'issue', 'start_token_id': 131, 'end_token_id': 131}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': ""City Attorney 's office"", 'start_token_id': 107, 'end_token_id': 110}
 {'mention': 'Jamal Williams', 'start_token_id': 133, 'end_token_id': 134}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': ""City Attorney 's office"", 'start_token_id': 107, 'end_token_id': 110}
 {'mention': 'A. J. Smith', 'start_token_id': 139, 'end_token_id': 141}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': ""City Attorney 's office"", 'start_token_id': 107, 'end_token_id': 110}
 {'mention': 'team', 'start_token_id': 149, 'end_token_id': 149}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': 'case', 'start_token_id': 113, 'end_token_id': 113}
 {'mention': 'as of Tuesday', 'start_token_id': 118, 'end_token_id': 120}]",0.0
"(0, 5)","(0, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': 'case', 'start_token_id': 113, 'end_token_id': 113}
 {'mention': 'issue', 'start_token_id': 131, 'end_token_id': 131}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': 'case', 'start_token_id': 113, 'end_token_id': 113}
 {'mention': 'Jamal Williams', 'start_token_id': 133, 'end_token_id': 134}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': 'case', 'start_token_id': 113, 'end_token_id': 113}
 {'mention': 'A. J. Smith', 'start_token_id': 139, 'end_token_id': 141}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': 'case', 'start_token_id': 113, 'end_token_id': 113}
 {'mention': 'team', 'start_token_id': 149, 'end_token_id': 149}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': 'as of Tuesday', 'start_token_id': 118, 'end_token_id': 120}
 {'mention': 'issue', 'start_token_id': 131, 'end_token_id': 131}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': 'as of Tuesday', 'start_token_id': 118, 'end_token_id': 120}
 {'mention': 'Jamal Williams', 'start_token_id': 133, 'end_token_id': 134}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': 'as of Tuesday', 'start_token_id': 118, 'end_token_id': 120}
 {'mention': 'A. J. Smith', 'start_token_id': 139, 'end_token_id': 141}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': 'as of Tuesday', 'start_token_id': 118, 'end_token_id': 120}
 {'mention': 'team', 'start_token_id': 149, 'end_token_id': 149}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': 'issue', 'start_token_id': 131, 'end_token_id': 131}
 {'mention': 'Jamal Williams', 'start_token_id': 133, 'end_token_id': 134}]",0.0
"(0, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': 'issue', 'start_token_id': 131, 'end_token_id': 131}
 {'mention': 'A. J. Smith', 'start_token_id': 139, 'end_token_id': 141}]",0.0
"(0, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': 'issue', 'start_token_id': 131, 'end_token_id': 131}
 {'mention': 'team', 'start_token_id': 149, 'end_token_id': 149}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': 'Jamal Williams', 'start_token_id': 133, 'end_token_id': 134}
 {'mention': 'A. J. Smith', 'start_token_id': 139, 'end_token_id': 141}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': 'Jamal Williams', 'start_token_id': 133, 'end_token_id': 134}
 {'mention': 'team', 'start_token_id': 149, 'end_token_id': 149}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[7 8]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  The City Attorney's office said the case hadn't been submitted as of Tuesday. ","[{'mention': 'A. J. Smith', 'start_token_id': 139, 'end_token_id': 141}
 {'mention': 'team', 'start_token_id': 149, 'end_token_id': 149}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[8 9]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  ""We'll continue to monitor the situation and let the legal process run its course. ","[{'mention': 'issue', 'start_token_id': 131, 'end_token_id': 131}
 {'mention': 'Jamal Williams', 'start_token_id': 133, 'end_token_id': 134}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[8 9]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  ""We'll continue to monitor the situation and let the legal process run its course. ","[{'mention': 'issue', 'start_token_id': 131, 'end_token_id': 131}
 {'mention': 'A. J. Smith', 'start_token_id': 139, 'end_token_id': 141}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[8 9]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  ""We'll continue to monitor the situation and let the legal process run its course. ","[{'mention': 'issue', 'start_token_id': 131, 'end_token_id': 131}
 {'mention': 'team', 'start_token_id': 149, 'end_token_id': 149}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[8 9]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  ""We'll continue to monitor the situation and let the legal process run its course. ","[{'mention': 'issue', 'start_token_id': 131, 'end_token_id': 131}
 {'mention': '"" We \'ll', 'start_token_id': 152, 'end_token_id': 154}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[8 9]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  ""We'll continue to monitor the situation and let the legal process run its course. ","[{'mention': 'Jamal Williams', 'start_token_id': 133, 'end_token_id': 134}
 {'mention': 'A. J. Smith', 'start_token_id': 139, 'end_token_id': 141}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[8 9]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  ""We'll continue to monitor the situation and let the legal process run its course. ","[{'mention': 'Jamal Williams', 'start_token_id': 133, 'end_token_id': 134}
 {'mention': 'team', 'start_token_id': 149, 'end_token_id': 149}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[8 9]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  ""We'll continue to monitor the situation and let the legal process run its course. ","[{'mention': 'Jamal Williams', 'start_token_id': 133, 'end_token_id': 134}
 {'mention': '"" We \'ll', 'start_token_id': 152, 'end_token_id': 154}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[8 9]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  ""We'll continue to monitor the situation and let the legal process run its course. ","[{'mention': 'A. J. Smith', 'start_token_id': 139, 'end_token_id': 141}
 {'mention': 'team', 'start_token_id': 149, 'end_token_id': 149}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[8 9]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  ""We'll continue to monitor the situation and let the legal process run its course. ","[{'mention': 'A. J. Smith', 'start_token_id': 139, 'end_token_id': 141}
 {'mention': '"" We \'ll', 'start_token_id': 152, 'end_token_id': 154}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[8 9]," ""It's disappointing to hear about the issue involving Jamal Williams, "" general manager A. J. Smith said in a statement released by the team.  ""We'll continue to monitor the situation and let the legal process run its course. ","[{'mention': 'team', 'start_token_id': 149, 'end_token_id': 149}
 {'mention': '"" We \'ll', 'start_token_id': 152, 'end_token_id': 154}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[ 9 10]," ""We'll continue to monitor the situation and let the legal process run its course.  ""The Chargers have always been leaders and positive contributors to our community, "" Smith added. ","[{'mention': '"" We \'ll', 'start_token_id': 152, 'end_token_id': 154}
 {'mention': 'Chargers', 'start_token_id': 172, 'end_token_id': 172}]",0.0
"(5, 5)","(5, 5)","(5, 5)","(5, 5)","(5, 5)",35_1ecbplus.xml,[ 9 10]," ""We'll continue to monitor the situation and let the legal process run its course.  ""The Chargers have always been leaders and positive contributors to our community, "" Smith added. ","[{'mention': '"" We \'ll', 'start_token_id': 152, 'end_token_id': 154}
 {'mention': 'leaders', 'start_token_id': 176, 'end_token_id': 176}]",0.0
